101N,101S,180
256S,257S,60
256S,257S,90
257N,256N,90
257N,257S,180
257S,257N,180
301N,301S,180
301S,301N,180
301S,302S,120
301S,302S,90
302N,301N,120
302N,302S,180
302S,224S,120
302S,224S,150
302S,302N,180
401N,401S,180
401S,401N,180
401S,402S,120
402N,401N,120
402N,402S,180
402S,402N,180
402S,405S,120
402S,405S,90
405N,402N,120
405N,402N,90
405N,405S,180
405S,405N,180
405S,406S,120
405S,406S,150
406N,405N,120
406N,405N,150
406N,406S,180
406S,406N,180
406S,407S,60
406S,407S,90
407N,406N,60
407N,406N,90
407N,407S,180
407S,407N,180
407S,408S,60
407S,408S,90
408N,407N,60
408N,407N,90
408N,408S,180
408S,408N,180
408S,409S,90
409N,408N,90
409N,409S,0
409S,409N,0
409S,410S,120
409S,410S,90
410N,409N,90
410N,410S,180
410S,410N,180
410S,411S,60
410S,411S,90
411N,410N,60
411N,410N,90
411N,411S,180
411S,411N,180
411S,412S,60
411S,412S,90
412N,411N,60
412N,411N,90
412N,412S,180
412S,412N,180
412S,413S,120
412S,413S,90
413N,409N,300
413N,412N,90
413N,413S,180
413S,413N,180
413S,414S,120
413S,414S,150
414N,413N,120
414N,413N,90
414N,414S,180
414N,D11N,180
414N,D11S,180
414S,414N,180
414S,415S,150
414S,415S,180
414S,D11N,180
414S,D11S,180
415N,222N,180
415N,222S,180
415N,414N,150
415N,414N,180
415N,414N,90
415N,415S,0
415S,222N,180
415S,222S,180
415S,415N,0
415S,416S,120
415S,416S,90
415S,621S,390
415S,621S,450
415S,621S,480
415S,621S,510
416N,222N,150
416N,222N,180
416N,222N,210
416N,415N,120
416N,415N,150
416N,415N,90
416N,416S,180
416S,416N,180
416S,621S,150
416S,621S,180
416S,621S,210
418N,229N,300
418N,229S,300
418N,418S,180
418N,640N,120
418N,640N,90
418N,A38N,180
418N,A38S,180
418N,M22N,300
418N,M22S,300
418S,229N,300
418S,229S,300
418S,418N,180
418S,419S,120
418S,419S,60
418S,419S,90
418S,A38N,180
418S,A38S,180
418S,M22N,300
418S,M22S,300
419N,418N,120
419N,418N,60
419N,418N,90
419N,419S,180
419S,419N,180
419S,420S,60
419S,420S,90
420N,419N,60
420N,419N,90
420N,420S,180
420S,420N,180
420S,423S,300
420S,423S,330
420S,423S,360
423N,232N,300
423N,232S,300
423N,420N,300
423N,420N,330
423N,420N,360
423N,423S,180
423N,R28N,180
423N,R28S,180
423S,232N,300
423S,232S,300
423S,234S,120
423S,234S,90
423S,423N,180
423S,R28N,180
423S,R28S,180
501N,501S,180
501S,501N,180
501S,502S,120
501S,502S,150
502N,501N,120
502N,501N,150
502N,502S,180
502S,502N,180
502S,503S,120
502S,503S,150
502S,503S,180
503N,502N,120
503N,502N,150
503N,503S,180
503S,503N,180
503S,504S,150
503S,504S,180
504N,503N,150
504N,503N,180
504N,504S,180
504S,504N,180
504S,505S,60
504S,505S,90
505N,504N,60
505N,504N,90
505N,505S,180
505S,213S,180
505S,213S,210
505S,213S,240
505S,505N,180
601N,601S,180
601S,601N,180
601S,602S,150
602N,601N,150
602N,602S,180
602S,602N,180
602S,603S,90
603N,602N,90
603N,603S,180
603S,603N,180
603S,604S,90
604N,603N,90
604N,604S,180
604S,604N,180
604S,606S,60
604S,606S,90
606N,604N,60
606N,606S,180
606S,606N,180
606S,607S,60
607N,606N,60
607N,607S,180
607S,607N,180
607S,608S,120
607S,608S,90
608N,607N,120
608N,607N,90
608N,608S,0
608S,608N,0
608S,609S,90
608S,613S,330
609N,608N,60
609N,608N,90
609N,609S,180
609S,609N,180
609S,610S,90
610N,609N,60
610N,609N,90
610N,610S,180
610S,610N,180
610S,611S,60
611N,610N,60
611N,611S,180
611S,611N,180
611S,612S,120
611S,612S,90
612N,611N,120
612N,611N,90
612N,612S,180
612S,612N,180
612S,613S,120
613N,608N,330
613N,608N,360
613N,612N,120
613N,612N,90
613N,613S,0
613S,613N,0
613S,614S,120
613S,614S,90
613S,619S,420
614N,613N,120
614N,613N,90
614N,614S,180
614S,614N,180
614S,615S,120
614S,615S,90
615N,614N,120
615N,614N,90
615N,615S,180
615S,615N,180
615S,616S,60
615S,616S,90
616N,615N,60
616N,615N,90
616N,616S,180
616S,616N,180
616S,617S,120
617N,616N,120
617N,617S,180
617S,617N,180
617S,618S,60
617S,618S,90
618N,617N,60
618N,618S,180
618S,618N,180
618S,619S,90
619N,613N,390
619N,613N,420
619N,618N,90
619N,619S,0
619S,619N,0
619S,621S,180
621N,415N,270
621N,416N,150
621N,619N,180
621N,619N,210
621N,621S,180
621S,621N,180
621S,622S,120
621S,622S,90
621S,626S,270
621S,626S,300
621S,626S,330
622N,621N,120
622N,621N,90
622N,622S,180
622S,622N,180
622S,623S,60
622S,623S,90
623N,622N,60
623N,622N,90
623N,623S,180
623S,623N,180
623S,624S,60
623S,624S,90
624N,623N,60
624N,623N,90
624N,624S,180
624S,624N,180
624S,625S,120
624S,625S,90
625N,624N,90
625N,625S,180
625S,625N,180
625S,626S,120
626N,621N,270
626N,621N,300
626N,621N,330
626N,621N,360
626N,621N,390
626N,625N,120
626N,626S,180
626S,626N,180
626S,627S,120
626S,627S,150
626S,627S,90
626S,629S,210
626S,629S,240
626S,629S,270
626S,629S,300
626S,629S,330
626S,629S,360
626S,629S,390
626S,629S,420
627N,626N,120
627N,626N,90
627N,627S,180
627S,627N,180
627S,628S,120
627S,628S,90
628N,627N,120
628N,627N,90
628N,628S,180
628S,628N,180
628S,629S,120
628S,629S,150
628S,629S,90
629N,626N,210
629N,626N,240
629N,628N,120
629N,628N,90
629N,629S,180
629N,B08N,300
629N,B08S,300
629N,R11N,180
629N,R11S,180
629S,629N,180
629S,630S,120
629S,630S,90
629S,631S,150
629S,631S,180
629S,631S,210
629S,631S,240
629S,631S,270
629S,B08N,300
629S,B08S,300
629S,R11N,180
629S,R11S,180
630N,629N,90
630N,630S,180
630N,F11N,180
630N,F11S,180
630S,630N,180
630S,631S,120
630S,631S,150
630S,F11N,180
630S,F11S,180
631N,629N,120
631N,629N,150
631N,630N,120
631N,630N,90
631N,631S,0
631N,723N,180
631N,723S,180
631N,901N,180
631N,901S,180
631S,631N,0
631S,632S,120
631S,635S,210
631S,635S,240
631S,635S,270
631S,635S,300
631S,635S,330
631S,635S,360
631S,723N,180
631S,723S,180
631S,901N,180
631S,901S,180
632N,631N,120
632N,632S,180
632S,632N,180
632S,633S,60
632S,633S,90
633N,632N,60
633N,632N,90
633N,633S,180
633S,633N,180
633S,634S,60
633S,634S,90
634N,633N,60
634N,633N,90
634N,634S,180
634S,634N,180
634S,635S,120
634S,635S,90
635N,631N,210
635N,631N,240
635N,631N,270
635N,631N,300
635N,634N,120
635N,634N,90
635N,635S,0
635N,L03N,180
635N,L03S,180
635N,R20N,180
635N,R20S,180
635S,635N,0
635S,636S,90
635S,640S,270
635S,640S,300
635S,640S,330
635S,640S,360
635S,640S,390
635S,640S,420
635S,640S,450
635S,L03N,180
635S,L03S,180
635S,R20N,180
635S,R20S,180
636N,635N,60
636N,635N,90
636N,636S,180
636S,636N,180
636S,637S,120
636S,637S,60
636S,637S,90
637N,636N,90
637N,637S,180
637N,D21N,180
637N,D21S,180
637S,637N,180
637S,638S,60
637S,638S,90
637S,D21N,180
637S,D21S,180
638N,637N,60
638N,637N,90
638N,638S,180
638S,638N,180
638S,639S,90
639N,638N,90
639N,639S,180
639N,M20N,180
639N,M20S,180
639N,Q01N,180
639N,Q01S,180
639N,R23N,180
639N,R23S,180
639S,639N,180
639S,640S,120
639S,M20N,180
639S,M20S,180
639S,Q01N,180
639S,Q01S,180
639S,R23N,180
639S,R23S,180
640N,635N,270
640N,635N,300
640N,635N,330
640N,635N,360
640N,635N,390
640N,639N,120
640N,640S,0
640N,M21N,180
640N,M21S,180
640S,418S,120
640S,418S,90
640S,640N,0
640S,M21N,180
640S,M21S,180
701N,701S,180
701S,701N,180
701S,702S,150
701S,702S,180
702N,701N,210
702N,702S,180
702S,702N,180
702S,705S,120
702S,705S,90
702S,707S,210
705N,702N,120
705N,702N,150
705N,705S,180
705S,705N,180
705S,706S,60
705S,706S,90
706N,705N,60
706N,706S,180
706S,706N,180
706S,707S,60
706S,707S,90
707N,702N,210
707N,706N,60
707N,706N,90
707N,707S,0
707S,707N,0
707S,708S,60
707S,708S,90
707S,712S,210
707S,712S,240
708N,707N,60
708N,707N,90
708N,708S,180
708S,708N,180
708S,709S,60
708S,709S,90
709N,708N,60
709N,708N,90
709N,709S,180
709S,709N,180
709S,710S,60
709S,710S,90
710N,709N,60
710N,710S,180
710N,G14N,180
710N,G14S,180
710S,710N,180
710S,711S,90
710S,G14N,180
710S,G14S,180
711N,710N,90
711N,711S,180
711S,711N,180
711S,712S,120
711S,712S,150
712N,707N,240
712N,711N,120
712N,712S,0
712S,712N,0
712S,713S,120
712S,713S,90
712S,718S,330
712S,718S,360
713N,712N,120
713N,712N,90
713N,713S,180
713S,713N,180
713S,714S,60
714N,713N,60
714N,714S,180
714S,714N,180
714S,715S,60
715N,714N,60
715N,715S,180
715S,715N,180
715S,716S,60
715S,716S,90
716N,715N,60
716N,715N,90
716N,716S,180
716S,716N,180
716S,718S,120
716S,718S,150
718N,712N,330
718N,716N,120
718N,716N,150
718N,718S,0
718N,R09N,0
718N,R09S,0
718S,718N,0
718S,719S,120
718S,719S,90
718S,R09N,0
718S,R09S,0
719N,718N,120
719N,718N,90
719N,719S,180
719N,F09N,300
719N,F09S,300
719N,G22N,180
719N,G22S,180
719S,719N,180
719S,720S,120
719S,720S,90
719S,F09N,300
719S,F09S,300
719S,G22N,180
719S,G22S,180
720N,719N,120
720N,719N,90
720N,720S,180
720S,720N,180
720S,721S,60
721N,720N,30
721N,720N,60
721N,721S,180
721S,721N,180
721S,723S,270
721S,723S,300
721S,723S,330
723N,631N,180
723N,631S,180
723N,721N,270
723N,721N,300
723N,721N,330
723N,723S,180
723N,901N,300
723N,901S,300
723S,631N,180
723S,631S,180
723S,723N,180
723S,724S,90
723S,901N,300
723S,901S,300
724N,723N,60
724N,723N,90
724N,724S,180
724N,D16N,180
724N,D16S,180
724S,724N,180
724S,725S,90
724S,D16N,180
724S,D16S,180
725N,127N,180
725N,127S,180
725N,724N,90
725N,725S,180
725N,902N,300
725N,902S,300
725N,A27N,180
725N,A27S,180
725N,R16N,180
725N,R16S,180
725S,127N,180
725S,127S,180
725S,725N,180
725S,726S,210
725S,726S,240
725S,902N,300
725S,902S,300
725S,A27N,180
725S,A27S,180
725S,R16N,180
725S,R16S,180
726N,725N,180
726N,725N,210
901N,631N,180
901N,631S,180
901N,723N,300
901N,723S,300
901N,901S,180
901N,902N,90
901S,631N,180
901S,631S,180
901S,723N,300
901S,723S,300
901S,901N,180
902N,127N,180
902N,127S,180
902N,725N,300
902N,725S,300
902N,902S,180
902N,A27N,300
902N,A27S,300
902N,R16N,180
902N,R16S,180
902S,127N,180
902S,127S,180
902S,725N,300
902S,725S,300
902S,901S,90
902S,902N,180
902S,A27N,300
902S,A27S,300
902S,R16N,180
902S,R16S,180
A02N,A02S,180
A02S,A02N,180
A02S,A03S,120
A02S,A03S,90
A03N,A02N,120
A03N,A02N,90
A03N,A03S,180
A03S,A03N,180
A03S,A05S,120
A03S,A05S,150
A05N,A03N,150
A05N,A05S,180
A05S,A05N,180
A05S,A06S,120
A06N,A05N,120
A06N,A06S,180
A06S,A06N,180
A06S,A07S,60
A07N,A06N,60
A07N,A06N,90
A07N,A07S,180
A07S,A07N,180
A07S,A09S,120
A09N,112N,180
A09N,112S,180
A09N,A07N,120
A09N,A09S,0
A09S,112N,180
A09S,112S,180
A09S,A09N,0
A09S,A10S,60
A09S,A10S,90
A09S,A12S,210
A10N,A09N,90
A10N,A10S,180
A10S,A10N,180
A10S,A11S,60
A10S,A11S,90
A11N,A10N,90
A11N,A11S,180
A11S,A11N,180
A11S,A12S,90
A12N,A09N,180
A12N,A11N,90
A12N,A12S,0
A12N,D13N,180
A12N,D13S,180
A12S,A12N,0
A12S,A14S,120
A12S,A14S,150
A12S,A14S,90
A12S,A15S,210
A12S,A15S,240
A12S,D13N,180
A12S,D13S,180
A14N,A12N,90
A14N,A14S,180
A14N,D13N,120
A14N,D13N,90
A14S,A14N,180
A14S,A15S,120
A14S,A15S,90
A15N,A12N,150
A15N,A12N,180
A15N,A12N,210
A15N,A12N,240
A15N,A14N,120
A15N,A14N,90
A15N,A15S,0
A15N,D13N,210
A15N,D13N,240
A15N,D13N,270
A15S,A15N,0
A15S,A16S,90
A15S,A24S,480
A15S,A24S,510
A16N,A15N,90
A16N,A16S,180
A16S,A16N,180
A16S,A17S,90
A17N,A16N,90
A17N,A17S,180
A17S,A17N,180
A17S,A18S,60
A17S,A18S,90
A18N,A17N,60
A18N,A18S,180
A18S,A18N,180
A18S,A19S,60
A18S,A19S,90
A19N,A18N,90
A19N,A19S,180
A19S,A19N,180
A19S,A20S,120
A19S,A20S,90
A20N,A19N,90
A20N,A20S,180
A20S,A20N,180
A20S,A21S,90
A21N,A20N,90
A21N,A21S,180
A21S,A21N,180
A21S,A22S,90
A22N,A21N,90
A22N,A22S,180
A22S,A22N,180
A22S,A24S,90
A24N,125N,180
A24N,125S,180
A24N,A15N,480
A24N,A15N,510
A24N,A22N,90
A24N,A24S,0
A24S,125N,180
A24S,125S,180
A24S,A24N,0
A24S,A25S,120
A24S,A25S,90
A24S,A27S,150
A24S,A27S,180
A24S,D14S,120
A24S,D14S,90
A25N,A24N,120
A25N,A24N,150
A25N,A25S,180
A25N,D14N,90
A25S,A25N,180
A25S,A27S,120
A25S,A27S,150
A27N,127N,300
A27N,127S,300
A27N,725N,180
A27N,725S,180
A27N,902N,300
A27N,902S,300
A27N,A24N,180
A27N,A24N,210
A27N,A25N,120
A27N,A25N,150
A27N,A25N,90
A27N,A27S,0
A27N,R16N,300
A27N,R16S,300
A27S,127N,300
A27S,127S,300
A27S,725N,180
A27S,725S,180
A27S,902N,300
A27S,902S,300
A27S,A27N,0
A27S,A28S,60
A27S,A28S,90
A27S,R16N,300
A27S,R16S,300
A28N,A27N,60
A28N,A27N,90
A28N,A28S,300
A28S,A28N,300
A28S,A30S,120
A28S,A30S,90
A28S,A31S,150
A28S,A31S,180
A28S,A31S,210
A30N,A28N,120
A30N,A28N,150
A30N,A28N,90
A30N,A30S,180
A30S,A30N,180
A30S,A31S,90
A31N,A28N,180
A31N,A28N,210
A31N,A30N,90
A31N,A31S,0
A31N,L01N,90
A31N,L01S,90
A31S,A31N,0
A31S,A32S,120
A31S,A32S,150
A31S,L01N,90
A31S,L01S,90
A32N,A31N,120
A32N,A31N,150
A32N,A31N,180
A32N,A32S,0
A32N,D20N,180
A32N,D20S,180
A32S,A32N,0
A32S,A33S,90
A32S,A34S,150
A32S,D20N,180
A32S,D20S,180
A33N,A32N,120
A33N,A33S,180
A33S,A33N,180
A33S,A34S,90
A34N,A32N,150
A34N,A33N,90
A34N,A34S,0
A34S,A34N,0
A34S,A36S,120
A34S,E01S,120
A36N,228N,180
A36N,228S,180
A36N,A34N,90
A36N,A36S,180
A36N,E01N,300
A36N,E01S,300
A36N,R25N,420
A36N,R25S,420
A36S,228N,180
A36S,228S,180
A36S,A36N,180
A36S,A38S,120
A36S,E01N,300
A36S,E01S,300
A36S,R25N,420
A36S,R25S,420
A38N,229N,180
A38N,229S,180
A38N,418N,180
A38N,418S,180
A38N,A36N,120
A38N,A38S,180
A38N,M22N,180
A38N,M22S,180
A38S,229N,180
A38S,229S,180
A38S,418N,180
A38S,418S,180
A38S,A38N,180
A38S,A40S,180
A38S,A40S,210
A38S,M22N,180
A38S,M22S,180
A40N,A38N,180
A40N,A38N,210
A40N,A38N,240
A40N,A40S,180
A40S,A40N,180
A40S,A41S,120
A41N,A40N,120
A41N,A41S,180
A41N,F18N,90
A41N,R29N,90
A41N,R29S,90
A41S,A41N,180
A41S,A42S,120
A41S,A42S,90
A41S,F20S,150
A41S,F20S,180
A41S,R29N,90
A41S,R29S,90
A42N,A41N,120
A42N,A41N,90
A42N,A42S,180
A42N,G36N,120
A42N,G36N,90
A42S,A42N,180
A42S,A43S,120
A42S,A46S,270
A42S,A46S,300
A42S,F20S,120
A42S,F20S,90
A43N,A42N,120
A43N,A42N,90
A43N,A43S,180
A43S,A43N,180
A43S,A44S,120
A43S,A44S,90
A44N,A43N,90
A44N,A44S,180
A44S,A44N,180
A44S,A45S,120
A44S,A45S,90
A45N,A44N,120
A45N,A44N,90
A45N,A45S,180
A45N,S01N,180
A45N,S01S,180
A45S,A45N,180
A45S,A46S,60
A45S,A46S,90
A45S,S01N,180
A45S,S01S,180
A46N,A42N,300
A46N,A42N,330
A46N,A42N,360
A46N,A45N,60
A46N,A46S,180
A46S,A46N,180
A46S,A47S,120
A46S,A47S,90
A46S,A48S,120
A46S,A48S,150
A47N,A46N,120
A47N,A46N,90
A47N,A47S,180
A47S,A47N,180
A47S,A48S,120
A47S,A48S,90
A48N,A46N,180
A48N,A46N,210
A48N,A47N,120
A48N,A47N,90
A48N,A48S,0
A48S,A48N,0
A48S,A49S,120
A48S,A51S,180
A48S,A51S,210
